cpt_code,procedure
38240,Transplant - Bone Marrow
38241,Transplant - Bone Marrow
38242,Transplant - Bone Marrow
33933,Transplant - Heart
33944,Transplant - Heart
33945,Transplant - Heart
33935,Transplant - HeartLung
44715,Transplant - Intestines
44716,Transplant - Intestines
44717,Transplant - Intestines
44718,Transplant - Intestines
44719,Transplant - Intestines
44720,Transplant - Intestines
44721,Transplant - Intestines
44135,Transplant - Intestines
44136,Transplant - Intestines
44132,Transplant - Intestines
44133,Transplant - Intestines
44137,Transplant - Intestines
47143,Transplant - Liver
47144,Transplant - Liver
47145,Transplant - Liver
47146,Transplant - Liver
47147,Transplant - Liver
47135,Transplant - Liver
47136,Transplant - Liver
32855,Transplant - Lung
32856,Transplant - Lung
33933,Transplant - Lung
32850,Transplant - Lung
32854,Transplant - Lung
32853,Transplant - Lung
32852,Transplant - Lung
32851,Transplant - Lung
48160,Transplant - Pancreas
48550,Transplant - Pancreas
48554,Transplant - Pancreas
48555,Transplant - Pancreas
48556,Transplant - Pancreas
48551,Transplant - Pancreas
48552,Transplant - Pancreas
60512,Transplant - Parathyroid
50323,Transplant - Renal
50324,Transplant - Renal
50325,Transplant - Renal
50326,Transplant - Renal
50327,Transplant - Renal
50328,Transplant - Renal
50329,Transplant - Renal
50300,Transplant - Renal
50301,Transplant - Renal
50302,Transplant - Renal
50303,Transplant - Renal
50304,Transplant - Renal
50305,Transplant - Renal
50306,Transplant - Renal
50307,Transplant - Renal
50308,Transplant - Renal
50309,Transplant - Renal
50310,Transplant - Renal
50311,Transplant - Renal
50312,Transplant - Renal
50313,Transplant - Renal
50314,Transplant - Renal
50315,Transplant - Renal
50316,Transplant - Renal
50317,Transplant - Renal
50318,Transplant - Renal
50319,Transplant - Renal
50320,Transplant - Renal
50360,Transplant - Renal
50365,Transplant - Renal
50380,Transplant - Renal
50547,Transplant - Renal
50340,Transplant - Renal
50370,Transplant - Renal
