icd_code,condition_group
584,ESRD
585,ESRD
586,ESRD
N186,ESRD
042,HIV/AIDS
B20,HIV/AIDS
286,Hemophilia
D66,Hemophilia
C000,Cancer - Lip
C000,Cancer - Lip
C001,Cancer - Lip
C001,Cancer - Lip
C002,Cancer - Lip
C002,Cancer - Lip
C003,Cancer - Lip
C003,Cancer - Lip
C004,Cancer - Lip
C004,Cancer - Lip
C005,Cancer - Lip
C005,Cancer - Lip
C006,Cancer - Lip
C006,Cancer - Lip
C007,Cancer - Lip
C007,Cancer - Lip
C008,Cancer - Lip
C008,Cancer - Lip
C009,Cancer - Lip
C009,Cancer - Lip
C019,Cancer - Tongue
C019,Cancer - Tongue
C020,Cancer - Tongue
C020,Cancer - Tongue
C021,Cancer - Tongue
C021,Cancer - Tongue
C022,Cancer - Tongue
C022,Cancer - Tongue
C023,Cancer - Tongue
C023,Cancer - Tongue
C024,Cancer - Tongue
C024,Cancer - Tongue
C025,Cancer - Tongue
C025,Cancer - Tongue
C026,Cancer - Tongue
C026,Cancer - Tongue
C027,Cancer - Tongue
C027,Cancer - Tongue
C028,Cancer - Tongue
C028,Cancer - Tongue
C029,Cancer - Tongue
C029,Cancer - Tongue
C079,Cancer - Salivary Gland
C079,Cancer - Salivary Gland
C080,Cancer - Salivary Gland
C080,Cancer - Salivary Gland
C081,Cancer - Salivary Gland
C081,Cancer - Salivary Gland
C082,Cancer - Salivary Gland
C082,Cancer - Salivary Gland
C083,Cancer - Salivary Gland
C083,Cancer - Salivary Gland
C084,Cancer - Salivary Gland
C084,Cancer - Salivary Gland
C085,Cancer - Salivary Gland
C085,Cancer - Salivary Gland
C086,Cancer - Salivary Gland
C086,Cancer - Salivary Gland
C087,Cancer - Salivary Gland
C087,Cancer - Salivary Gland
C088,Cancer - Salivary Gland
C088,Cancer - Salivary Gland
C089,Cancer - Salivary Gland
C089,Cancer - Salivary Gland
C040,Cancer - Floor of Mouth
C040,Cancer - Floor of Mouth
C041,Cancer - Floor of Mouth
C041,Cancer - Floor of Mouth
C042,Cancer - Floor of Mouth
C042,Cancer - Floor of Mouth
C043,Cancer - Floor of Mouth
C043,Cancer - Floor of Mouth
C044,Cancer - Floor of Mouth
C044,Cancer - Floor of Mouth
C045,Cancer - Floor of Mouth
C045,Cancer - Floor of Mouth
C046,Cancer - Floor of Mouth
C046,Cancer - Floor of Mouth
C047,Cancer - Floor of Mouth
C047,Cancer - Floor of Mouth
C048,Cancer - Floor of Mouth
C048,Cancer - Floor of Mouth
C049,Cancer - Floor of Mouth
C049,Cancer - Floor of Mouth
C030,Cancer - Gum and Other Mouth
C030,Cancer - Gum and Other Mouth
C031,Cancer - Gum and Other Mouth
C031,Cancer - Gum and Other Mouth
C032,Cancer - Gum and Other Mouth
C032,Cancer - Gum and Other Mouth
C033,Cancer - Gum and Other Mouth
C033,Cancer - Gum and Other Mouth
