icd_code,condition_group,short_description
1000,Tuberculosis,Prim TB complex-unspec
1001,Tuberculosis,Prim TB complex-no exam
1002,Tuberculosis,Prim TB complex-exm unkn
1003,Tuberculosis,Prim TB complex-micro dx
1004,Tuberculosis,Prim TB complex-cult dx
1005,Tuberculosis,Prim TB complex-histo dx
1006,Tuberculosis,Prim TB complex-oth test
1010,Tuberculosis,Prim TB pleurisy-unspec
1011,Tuberculosis,Prim TB pleurisy-no exam
1012,Tuberculosis,Prim TB pleur-exam unkn
1013,Tuberculosis,Prim TB pleuris-micro dx
1014,Tuberculosis,Prim TB pleurisy-cult dx
1015,Tuberculosis,Prim TB pleuris-histo dx
1016,Tuberculosis,Prim TB pleuris-oth test
1080,Tuberculosis,Prim prog TB NEC-unspec
1081,Tuberculosis,Prim prog TB NEC-no exam
1082,Tuberculosis,Prim pr TB NEC-exam unkn
1083,Tuberculosis,Prim prg TB NEC-micro dx
1084,Tuberculosis,Prim prog TB NEC-cult dx
1085,Tuberculosis,Prim prg TB NEC-histo dx
1086,Tuberculosis,Prim prg TB NEC-oth test
1090,Tuberculosis,Primary TB NOS-unspec
1091,Tuberculosis,Primary TB NOS-no exam
1092,Tuberculosis,Primary TB NOS-exam unkn
1093,Tuberculosis,Primary TB NOS-micro dx
1094,Tuberculosis,Primary TB NOS-cult dx
1095,Tuberculosis,Primary TB NOS-histo dx
1096,Tuberculosis,Primary TB NOS-oth test
1100,Tuberculosis,TB lung infiltr-unspec
1101,Tuberculosis,TB lung infiltr-no exam
1102,Tuberculosis,TB lung infiltr-exm unkn
1103,Tuberculosis,TB lung infiltr-micro dx
1104,Tuberculosis,TB lung infiltr-cult dx
1105,Tuberculosis,TB lung infiltr-histo dx
1106,Tuberculosis,TB lung infiltr-oth test
1110,Tuberculosis,TB lung nodular-unspec
1111,Tuberculosis,TB lung nodular-no exam
1112,Tuberculosis,TB lung nodul-exam unkn
1113,Tuberculosis,TB lung nodular-micro dx
1114,Tuberculosis,TB lung nodular-cult dx
1115,Tuberculosis,TB lung nodular-histo dx
1116,Tuberculosis,TB lung nodular-oth test
1120,Tuberculosis,TB lung w cavity-unspec
1121,Tuberculosis,TB lung w cavity-no exam
1122,Tuberculosis,TB lung cavity-exam unkn
1123,Tuberculosis,TB lung w cavit-micro dx
1124,Tuberculosis,TB lung w cavity-cult dx
1125,Tuberculosis,TB lung w cavit-histo dx
1126,Tuberculosis,TB lung w cavit-oth test
1130,Tuberculosis,TB of bronchus-unspec
1131,Tuberculosis,TB of bronchus-no exam
1132,Tuberculosis,TB of bronchus-exam unkn
1133,Tuberculosis,TB of bronchus-micro dx
1134,Tuberculosis,TB of bronchus-cult dx
1135,Tuberculosis,TB of bronchus-histo dx
1136,Tuberculosis,TB of bronchus-oth test
1140,Tuberculosis,TB lung fibrosis-unspec
1141,Tuberculosis,TB lung fibrosis-no exam
1142,Tuberculosis,TB lung fibros-exam unkn
1143,Tuberculosis,TB lung fibros-micro dx
1144,Tuberculosis,TB lung fibrosis-cult dx
1145,Tuberculosis,TB lung fibros-histo dx
1146,Tuberculosis,TB lung fibros-oth test
1150,Tuberculosis,TB bronchiectasis-unspec
1151,Tuberculosis,TB bronchiect-no exam
1152,Tuberculosis,TB bronchiect-exam unkn
1153,Tuberculosis,TB bronchiect-micro dx
1154,Tuberculosis,TB bronchiect-cult dx
1155,Tuberculosis,TB bronchiect-histo dx
1156,Tuberculosis,TB bronchiect-oth test
1160,Tuberculosis,TB pneumonia-unspec
1161,Tuberculosis,TB pneumonia-no exam
1162,Tuberculosis,TB pneumonia-exam unkn
1163,Tuberculosis,TB pneumonia-micro dx
1164,Tuberculosis,TB pneumonia-cult dx
1165,Tuberculosis,TB pneumonia-histo dx
1166,Tuberculosis,TB pneumonia-oth test
1170,Tuberculosis,TB pneumothorax-unspec
1171,Tuberculosis,TB pneumothorax-no exam
1172,Tuberculosis,TB pneumothorx-exam unkn
1173,Tuberculosis,TB pneumothorax-micro dx
1174,Tuberculosis,TB pneumothorax-cult dx
1175,Tuberculosis,TB pneumothorax-histo dx
1176,Tuberculosis,TB pneumothorax-oth test
1180,Tuberculosis,Pulmonary TB NEC-unspec
1181,Tuberculosis,Pulmonary TB NEC-no exam
1182,Tuberculosis,Pulmon TB NEC-exam unkn
1183,Tuberculosis,Pulmon TB NEC-micro dx
1184,Tuberculosis,Pulmon TB NEC-cult dx
1185,Tuberculosis,Pulmon TB NEC-histo dx
1186,Tuberculosis,Pulmon TB NEC-oth test
1190,Tuberculosis,Pulmonary TB NOS-unspec
1191,Tuberculosis,Pulmonary TB NOS-no exam
1192,Tuberculosis,Pulmon TB NOS-exam unkn
1193,Tuberculosis,Pulmon TB NOS-micro dx
1194,Tuberculosis,Pulmon TB NOS-cult dx
1195,Tuberculosis,Pulmon TB NOS-histo dx
1196,Tuberculosis,Pulmon TB NOS-oth test
1200,Tuberculosis,TB pleurisy-unspec
1201,Tuberculosis,TB pleurisy-no exam
1202,Tuberculosis,TB pleurisy-exam unkn
1203,Tuberculosis,TB pleurisy-micro dx
1204,Tuberculosis,TB pleurisy-cult dx
1205,Tuberculosis,TB pleurisy-histolog dx
1206,Tuberculosis,TB pleurisy-oth test
1210,Tuberculosis,TB thoracic nodes-unspec
1211,Tuberculosis,TB thorax node-no exam
1212,Tuberculosis,TB thorax node-exam unkn
1213,Tuberculosis,TB thorax node-micro dx
1214,Tuberculosis,TB thorax node-cult dx
1215,Tuberculosis,TB thorax node-histo dx
1216,Tuberculosis,TB thorax node-oth test
1220,Tuberculosis,Isol tracheal tb-unspec
1221,Tuberculosis,Isol tracheal tb-no exam
1222,Tuberculosis,Isol trach tb-exam unkn
1223,Tuberculosis,Isolat trach tb-micro dx
1224,Tuberculosis,Isol tracheal tb-cult dx
1225,Tuberculosis,Isolat trach tb-histo dx
1226,Tuberculosis,Isolat trach tb-oth test
1230,Tuberculosis,TB laryngitis-unspec
1231,Tuberculosis,TB laryngitis-no exam
1232,Tuberculosis,TB laryngitis-exam unkn
1233,Tuberculosis,TB laryngitis-micro dx
1234,Tuberculosis,TB laryngitis-cult dx
1235,Tuberculosis,TB laryngitis-histo dx
1236,Tuberculosis,TB laryngitis-oth test
1280,Tuberculosis,Resp TB NEC-unspec
